Restaurant Name,Restaurant Type,Rate (Out Of 5),Num Of Ratings,Avg Cost (Two People),Online_Order,Table Booking
Chatora Singh,Quick Bites,3.9,44,200,Yes,No
Chatorezz,Quick Bites,3.6,26,250,Yes,No
Chatori Gali,Casual Dining,2.9,51,600,No,No
Chatori Tongue,Quick Bites,3.9,65,100,Yes,No
Chatorr,Quick Bites,2.9,78,400,No,No
Chatpata,Food Court,3.2,4,500,No,No
Chatpata Chaat Station,Quick Bites,3.5,19,500,No,No
Chatpata India,Food Court,3.9,40,400,Yes,No
Chatpatlal Sweets & Snacks,"Quick Bites, Sweet Shop",4.1,342,200,Yes,No
Chats Point,Quick Bites,3.4,8,150,Yes,No
Chattar Mattar,Quick Bites,3.5,11,150,No,No
Chatter Platter,Quick Bites,3.4,29,300,Yes,No
Chattorey - The Family Restaurant,Casual Dining,3.4,37,400,No,No
Chavadi,"Casual Dining, Bar",4.4,2233,1200,Yes,Yes
Chawla's 2 Online.com,Delivery,3.5,5,800,Yes,No
Checkered Bar - MGM Mark,Lounge,3.6,19,1300,No,No
Checkpost,Casual Dining,4,960,600,Yes,No
Cheers Life,Kiosk,3.4,4,300,No,No
Cheers Pub Bar & Restro,"Pub, Bar",2.8,40,1100,No,Yes
Cheesecake Alley,Bakery,3.1,8,400,No,No
Cheesiano Pizza,Quick Bites,4,199,700,Yes,Yes
Cheesy Juicy Burgers,Quick Bites,3.8,18,500,Yes,No
Chef & Dine,Casual Dining,3.2,57,650,Yes,No
Chef Baker's,Bakery,2.9,36,600,Yes,No
Chef Delicacies,"Takeaway, Delivery",2.7,6,400,Yes,No
Chef Fast Food,Quick Bites,3.1,26,300,Yes,No
Chef Genie,Delivery,2.8,40,500,Yes,No
Chef in,Casual Dining,3.6,198,500,No,No
Chef Inn Regency,"Casual Dining, Bar",3.3,4,,No,No
Chef Kitchen,Quick Bites,3.7,19,200,Yes,No
Chef Master,Quick Bites,3.8,75,300,Yes,No
Chefactory Gold by Flechazo,Casual Dining,3.7,353,700,Yes,No
Chefeana,Quick Bites,4,212,400,Yes,No
Chefie,Quick Bites,3.8,37,200,Yes,No
Chefkraft,"Takeaway, Delivery",3.9,145,800,No,No
Chef's Bank,Casual Dining,3.4,19,700,Yes,No
Chef's Cap Chinese Cuisine Restaurant,Quick Bites,3.9,30,400,Yes,No
Chef's Gallery,Casual Dining,3.5,95,700,No,No
Chellappa's,Casual Dining,3.2,115,500,Yes,No
Chels Cafe,Cafe,3.5,20,500,Yes,No
Cheta's Kitchen,Quick Bites,3.9,78,350,Yes,No
Chettayees,Quick Bites,3.4,147,400,Yes,No
Chettinad Food House,Quick Bites,3.1,7,300,No,No
Chetty's Coffee,Quick Bites,3.5,87,150,No,No
Chetty's Corner,Quick Bites,3.4,26,150,Yes,No
Chez Mariannick,Casual Dining,4.1,395,1000,No,No
Chez Nous - Novotel,Lounge,3.9,125,2500,No,Yes
Chianti,Casual Dining,4.4,280,1500,No,Yes
Chichaba's Taj,Casual Dining,3.8,289,600,Yes,No
Chick Blast,Quick Bites,3.3,6,400,No,No
Chick Inn,Quick Bites,3.8,99,300,Yes,No
Chick Inn 24x7,Quick Bites,3.6,86,450,No,No
Chicken Corner,Casual Dining,3.2,6,450,No,No
Chicken County,Casual Dining,3.8,136,650,No,No
Chicken County Grand,Casual Dining,3.9,319,650,Yes,No
Chicken County Restaurant,Casual Dining,3.5,10,400,Yes,No
Chicken Dera,Quick Bites,3,25,400,No,No
Chicken Hunt,Quick Bites,3.5,88,350,Yes,No
Chicken Magic,Quick Bites,3.6,214,300,Yes,No
Chicken Man,Kiosk,3.7,48,400,Yes,No
Chicken Shawarma Hub,"Takeaway, Delivery",3.1,14,250,No,No
Chickmate,Quick Bites,3.4,6,,No,No
Chickpet Donne Biriyani Mane,Quick Bites,2.7,37,150,Yes,No
Chickpet Donne Biryani House,Casual Dining,3.7,80,600,Yes,No
Chickz N Cheez,Quick Bites,3.4,22,300,Yes,No
Chikeys,Quick Bites,3,19,400,No,No
Chikkanna Tiffin Room,Quick Bites,4.3,84,200,Yes,No
Chikpet Donne Biriyani Corner,Quick Bites,3.2,7,400,Yes,No
Chikpet Donne Biriyani House,Food Court,3.3,18,400,Yes,No
Chikpet Donne Biryani House,Quick Bites,3.6,23,350,Yes,No
Chili's American Grill & Bar,Casual Dining,4.6,4955,1400,Yes,No
Chill,Casual Dining,3.8,42,800,No,No
Chill Magic,Beverage Shop,2.8,40,200,No,No
Chill Out,Beverage Shop,3.4,9,150,No,No
Chill Out Cafe,Quick Bites,3.5,11,350,No,No
Chillax,Quick Bites,3.3,4,300,No,No
Chilld Monk,Dessert Parlor,3.5,8,250,Yes,No
Chiller's Nation - Iris Inn,Bar,2.9,27,1200,No,No
Chilli Chicken,Quick Bites,3,7,500,Yes,No
Chilli Flakes,Quick Bites,3.6,46,500,Yes,No
Chilli N Chicken,Quick Bites,3.2,4,400,No,No
Chilli Park,Quick Bites,2.8,40,300,Yes,No
Chillies Restaurant,Casual Dining,3.7,24,500,No,No
Chillikum,Quick Bites,3.6,38,350,Yes,No
Chill-Um Cafe,Quick Bites,4.1,151,600,Yes,Yes
Chilly N Chicken,Quick Bites,3.5,14,250,No,No
Chillz,Quick Bites,3.5,9,100,No,No
Chime - Sheraton Grand Bengaluru Whitefield Hotel &...,Bar,4.3,236,2500,No,Yes
Chin Chin by The Biere Club,Casual Dining,4.2,263,1500,Yes,Yes
Chin Lung Resto Bar,Bar,3.9,378,1000,No,No
Chin Lung Resto-Bar,"Casual Dining, Bar",4,307,1000,No,No
China Bistro & Lounge,Casual Dining,4.4,79,1600,Yes,Yes
China Bowl,Casual Dining,3.9,455,1000,Yes,No
China Down Town,Casual Dining,3.5,5,800,Yes,No
China Garden,Quick Bites,3.6,25,300,Yes,No
China Hut,Kiosk,3.8,56,500,No,No
China On My Plate,Casual Dining,2.8,23,800,Yes,No
China Pearl,Casual Dining,4.1,155,1100,Yes,No
China South,Casual Dining,3.4,4,600,No,No
China Tang,"Takeaway, Delivery",3.7,41,600,Yes,No
China Town 07,Quick Bites,2.8,40,300,Yes,No
Chination,Delivery,3.5,4,600,Yes,No
Chinese Chaska,Casual Dining,3.1,125,550,Yes,No
Chinese Corner,Quick Bites,2.8,34,200,No,No
Chinese Corner and Bengali Mess,Mess,3.5,28,300,Yes,No
Chinese Fire Dragon,Casual Dining,3.4,25,550,No,No
Chinese Food Point,"Takeaway, Delivery",2.8,40,300,Yes,No
Chinese House,Quick Bites,2.8,19,300,Yes,No
Chinese Kitchen,Quick Bites,3.8,58,150,Yes,No
Chinese Square,Quick Bites,3.9,38,200,Yes,No
Chinese Street,Casual Dining,3.1,134,650,Yes,No
Chinita Real Mexican Food,Casual Dining,4.4,2658,1200,No,No
Chinmayee's,Casual Dining,3.1,83,700,No,No
Chinnu's Mane Biryani,Quick Bites,3.5,10,300,Yes,No
Chintu Chit Chat Centre,Quick Bites,3.5,22,100,No,No
Chit Chat Cafe,"Beverage Shop, Quick Bites",2.8,40,150,No,No
Chitu's Kitchen,Quick Bites,3.5,10,450,No,No
Chivi's Meilleurs Boulangers,Quick Bites,3.4,12,300,Yes,No
Choco Allure,"Takeaway, Delivery",3.4,5,300,No,No
Choco Cheese,Dessert Parlor,2.8,40,300,Yes,No
Choco Nut Cafe,Quick Bites,3.2,19,150,Yes,No
Chocoberry,Dessert Parlor,3.5,56,400,Yes,No
Chocolat Boulangerie Patisserie,Dessert Parlor,4.1,445,400,No,No
Chocolate D'Luxe,Dessert Parlor,4.1,183,550,Yes,No
Chocolate Junction,Dessert Parlor,3.8,29,200,No,No
Choconut Cafe,Quick Bites,3.4,6,250,No,No
Chocs Cafe,Quick Bites,3.6,23,400,Yes,No
Choi Choi Momos,Kiosk,3.8,29,300,No,No
Choice of Food,Delivery,2.8,40,250,Yes,No
Chokha Chowka,Quick Bites,3.8,358,400,Yes,No
Chokha Zaika,Quick Bites,2.8,40,300,No,No
Choo Zi,Delivery,2.8,40,300,No,No
ChopServe,Quick Bites,3.5,5,300,No,No
Chopstick Kitchen,Casual Dining,3.4,71,600,Yes,No
Chopstick World,Casual Dining,4,178,750,No,No
Chord Road Resto-Bar,"Casual Dining, Lounge",3.2,97,1000,No,No
Chorum Curryum,Quick Bites,2.8,40,250,No,No
Chote Miya,Quick Bites,3.6,16,500,No,No
Chow San,Casual Dining,3,122,500,Yes,No
Chowk Tea Stall,Quick Bites,3.4,8,100,No,No
Chowmein,Casual Dining,3.8,284,800,Yes,No
Chowpatty,Quick Bites,3.6,95,300,Yes,No
Chriz Cafe,"Takeaway, Delivery",3.5,11,400,Yes,No
Chubalas Curry And Rice,Quick Bites,4,209,550,Yes,No
Chugg,Pub,3.9,746,1500,No,Yes
Chulha Chauki Da Dhaba,Casual Dining,4.1,295,1000,Yes,No
Chullah Bhatti,Casual Dining,4,557,900,Yes,Yes
Chullah Chandigarh,Casual Dining,4.2,308,800,No,No
Chumma Delicious,Quick Bites,3.7,237,200,Yes,No
Chung Shan Chinese Restaurant,Quick Bites,3.7,32,500,No,No
Chung Wah,Casual Dining,2.5,73,800,No,No
Chung Wah Express,Casual Dining,2.8,94,600,Yes,No
Chung Wah Opus,Casual Dining,3,57,650,Yes,No
Chung's Chinese Corner,Casual Dining,2.7,283,700,Yes,No
Chungs Pavilion,Casual Dining,3.9,247,650,Yes,No
Church Street Social,Lounge,4.3,7544,1500,Yes,No
Churchill's,"Casual Dining, Pub",4.1,1403,1100,Yes,Yes
Churn,Quick Bites,4.2,58,250,Yes,No
Churrascaria Brazil,Casual Dining,4.1,111,1400,No,No
Chutney Chang,Casual Dining,4.1,2339,1500,Yes,Yes
Ciclo Cafe,"Cafe, Casual Dining",4.3,1269,1000,Yes,No
Ciclo Life,Delivery,2.8,40,400,No,No
Cilantro,"Casual Dining, Bar",4,280,1500,Yes,Yes
Cinnabon,Quick Bites,4,80,,No,No
Cinnamon,Casual Dining,3.7,28,1000,No,No
Cinnamon - Grills and Gourmet,Quick Bites,3.6,10,400,No,No
"Cinnamon - Renaissance Hotel, Bengaluru",Dessert Parlor,4.3,236,500,No,No
Cinnamon's Kitchen,Quick Bites,3.7,25,300,Yes,No
Cirkus,"Bar, Casual Dining",4.3,331,1400,No,Yes
Cita Pani,Quick Bites,3.8,55,350,Yes,Yes
Citrus - The Leela Palace,Fine Dining,4.2,589,3500,No,Yes
Citrus Cafe - Lemon Tree Hotel,Casual Dining,3.8,118,1900,No,No
Citrus Cafe - Lemon Tree Premier,Casual Dining,3.9,183,2200,No,No
City Cafe,"Beverage Shop, Quick Bites",3.3,4,200,Yes,No
City Durbar,Casual Dining,3.7,71,450,Yes,No
CK's Bakery,Bakery,2.8,40,200,Yes,No
Classic Biryani Hut,Quick Bites,3.4,10,300,Yes,No
Classic Lassi Shop,Beverage Shop,3.4,43,150,Yes,No
Classic Shop,Beverage Shop,3.3,6,150,Yes,No
Clean Bowled,"Takeaway, Delivery",3.3,4,300,Yes,No
Clean Eats,"Takeaway, Delivery",2.8,40,300,No,No
Clean Slate Cafe,Cafe,4.1,272,600,Yes,No
Cloud Foods,Casual Dining,2.8,40,600,No,No
CloudNYN - Sterling Mac Hotel,Bar,4,417,1000,No,No
Clove Rooftop,Casual Dining,3.8,234,1000,No,Yes
Cluxi,Quick Bites,3.6,15,300,No,No
Coal Grill & Cafe,Quick Bites,3.3,8,300,No,No
Coast,Casual Dining,3.2,68,750,Yes,No
Coastal Biryani Paradise,Casual Dining,3.9,140,500,Yes,No
Coastal Creek,Casual Dining,3.3,13,600,No,No
Coastal Curry,Quick Bites,3.5,15,350,Yes,No
Coastal Delight,Casual Dining,4.1,198,650,Yes,No
Coastal Express,Quick Bites,3.4,35,300,Yes,No
Coastal Fish Land,Casual Dining,2.8,40,500,Yes,No
Coastal Hub,Casual Dining,4,364,700,Yes,Yes
Coastal Inn,Casual Dining,3.4,66,800,No,No
Coastal Mama,Casual Dining,4.1,466,700,No,Yes
Coastal Paradise Family Restaurant,Quick Bites,2.8,40,450,No,No
Coastal Spice,Casual Dining,3.7,56,900,Yes,Yes
Cobaja,Casual Dining,4.2,82,700,Yes,Yes
Cochin Connection,Food Court,3.6,41,500,Yes,No
Coco Barista,Cafe,2.8,40,400,No,No
Coco Grove Beer Cafe,Casual Dining,3.8,150,800,No,No
Cocoa Bakes,Bakery,3.6,14,350,Yes,No
Cocoa 'n' Crme,Bakery,3.5,11,250,No,No
CocoFresh,Food Court,3.3,4,300,No,No
Coconadu,"Food Court, Quick Bites",3.6,36,400,No,No
Coconut Grove,"Casual Dining, Bar",3.3,97,1100,No,No
Coffee Bike,Kiosk,3.7,15,250,No,No
Coffee Bytes,Quick Bites,3.1,6,100,No,No
Coffee House,Quick Bites,3.3,6,150,No,No
Coffee Mechanics,Cafe,4.3,191,700,Yes,No
Coffee Mug Cafe,Cafe,3.7,23,400,No,No
Coffee Tea & More,Quick Bites,4,63,150,Yes,No
Coffee Thindi,Quick Bites,3.5,15,150,No,No
Coffee Time,"Takeaway, Delivery",,40,150,No,No
Coffee Tindi,"Cafe, Quick Bites",3.8,75,200,Yes,No
Coffee@Arens,Cafe,3.8,77,550,Yes,No
Cold Fusion,Dessert Parlor,2.8,40,300,Yes,No
Cold Smith Ice Creams,Dessert Parlor,3.9,41,450,Yes,No
Cold Station,Quick Bites,3.8,18,250,Yes,No
Cold Stone Creamery,Dessert Parlor,3.9,99,400,Yes,No
Combo Biriyani,Delivery,2.9,6,400,Yes,No
Combo Box,"Takeaway, Delivery",3,15,500,No,No
Combo King Paramount,Food Court,3.1,12,500,No,No
Combo Studio,Casual Dining,3.1,16,500,Yes,No
Communiti,"Microbrewery, Casual Dining",4.6,3998,1500,No,No
Connie's Restaurant & SteakHouse,Casual Dining,4.2,176,,No,No
Container Coffee,Quick Bites,3.3,6,200,Yes,No
Cookie Man,Bakery,3.2,5,150,Yes,No
Cooking Mom,Casual Dining,2.9,182,800,Yes,No
Cool Break,Dessert Parlor,3.4,11,150,No,No
Cool Corner,Quick Bites,4.2,191,250,Yes,No
Cool Corner Arun Ice Cream,Dessert Parlor,3.5,8,200,No,No
Cool Joint,Beverage Shop,4.2,820,250,No,No
Cool Lassi Burger,"Beverage Shop, Quick Bites",3.1,7,200,No,No
Cool Point,Quick Bites,3.2,7,100,No,No
Coorg Diaries,Quick Bites,3.5,129,400,Yes,No
Coorg Lunch Home,Quick Bites,3.6,57,300,Yes,No
Copacabana Pub,"Pub, Casual Dining",2.8,40,1500,No,No
Copper Chimney,Casual Dining,4.1,40,1200,Yes,Yes
Corner House Ice Cream,Dessert Parlor,4.1,219,400,No,No
Corner Huts,Quick Bites,3.8,30,300,Yes,No
Corner Stone,"Beverage Shop, Quick Bites",3.6,42,300,No,No
Corprate Biriyani Adda,Casual Dining,3,5,500,No,No
Costa Biryanis,Delivery,3.3,10,300,Yes,No
Costa Coffee,Cafe,3,6,500,No,No
Costal Kadai,Quick Bites,2.8,40,300,No,No
Cottage Loaf,"Bakery, Quick Bites",4,50,250,Yes,No
Countryside - The Taste of Chettinad,Casual Dining,3.9,293,900,Yes,Yes
Covai Cafe,Quick Bites,3.6,17,200,No,No
Crack That,"Food Court, Quick Bites",3.3,6,500,No,No
Crafted Plate,"Casual Dining, Cafe",4.2,237,600,Yes,Yes
Cranganore House,"Takeaway, Delivery",3.4,11,400,No,No
Crave Bit Cafe,Cafe,2.8,40,600,No,No
Crave Bite,Quick Bites,3.6,19,400,No,No
CraveBelly Veg & Non veg,Quick Bites,2.8,40,150,No,No
Cravings,Quick Bites,3.7,139,400,Yes,No
Cravingz,"Beverage Shop, Quick Bites",3.7,17,400,Yes,No
Cravisthan,Quick Bites,2.8,40,500,Yes,No
Cravy Wings,Quick Bites,4.2,289,400,Yes,No
Crawl Street,Bar,4.2,2589,1200,Yes,Yes
Crazy Crush - Juices & Desserts Cafe,Beverage Shop,3.4,9,300,Yes,No
Crazy Pizza,"Food Court, Quick Bites",3.4,5,400,No,No
Cream & Fudge,Dessert Parlor,3.1,6,250,Yes,No
Cream and Bakes,Dessert Parlor,3.3,7,100,No,No
Cream and Fudge,Dessert Parlor,3.1,9,250,Yes,No
Cream Chemistry,Dessert Parlor,3.9,75,500,Yes,No
Cream Factory,Dessert Parlor,3.4,17,400,No,No
Cream House,Dessert Parlor,3,28,300,No,No
Cream N Desserts,"Dessert Parlor, Beverage Shop",3.7,49,400,No,No
Cream Stone,Dessert Parlor,4,78,500,Yes,No
Creamvilla,"Cafe, Dessert Parlor",3.9,66,600,Yes,No
Creamy Zone,Dessert Parlor,3.2,4,100,No,No
Creamyum,Delivery,4,95,300,No,No
Create Cafe,Quick Bites,3.4,9,300,Yes,No
Creme & Cheese,"Takeaway, Delivery",3.8,18,850,No,No
Creme Bliss,Bakery,3.9,42,350,Yes,No
Crepe Nation,Food Truck,3.8,12,300,Yes,No
Crescent Avenue - Hotel Bangalore International,Casual Dining,3.6,41,1400,Yes,No
Crisp Cafe,"Cafe, Casual Dining",4,97,1100,No,No
Crispy Crust Pizza,Delivery,3.1,45,450,Yes,No
Crispy Fried Chicken,Quick Bites,3.3,11,150,Yes,No
Croons,Dessert Parlor,3.8,26,350,No,No
Cross Road Cafe,Cafe,3.9,91,300,Yes,No
Cross Roads Cafe,Cafe,3,59,500,No,No
Cross Roads Inn,Casual Dining,2.8,40,800,No,No
Crown Gold,Quick Bites,3.9,49,400,Yes,No
Crown Resto,Casual Dining,2.8,40,450,No,No
Crumb Together,"Casual Dining, Bar",4.1,583,1200,Yes,Yes
Crumbz Crunches,Quick Bites,3.1,44,450,Yes,No
Crunch and Munch,Quick Bites,3.7,23,300,Yes,No
Crunch Pizzas,Delivery,2.6,54,600,Yes,No
Crunch Pizzas - Express Delivery,Delivery,3,235,500,Yes,No
Crunchees Cafeteria,Quick Bites,3.4,11,400,No,No
Crunchie Corner,Quick Bites,4,44,450,Yes,No
Crunchy Nights,Delivery,3.6,27,350,Yes,No
CTR,Quick Bites,4.7,4408,150,Yes,No
Cubbon Pavilion - ITC Gardenia,Fine Dining,4.3,678,2500,No,Yes
Cubbonpete Donne Biryani,Quick Bites,3.9,92,300,Yes,No
Cucumber Town,Delivery,4.2,306,600,Yes,No
Cultch Resto Cafe,Cafe,3.7,46,600,No,No
Cup Chronicles Cafe,Cafe,3.9,48,450,Yes,Yes
Cup Shup,Cafe,2.8,185,500,No,No
Cupcake Bliss,Bakery,3.2,6,250,Yes,No
Cupcake Couture,Delivery,3.8,40,300,No,No
Cupcake Noggins,Dessert Parlor,3.9,177,300,No,No
Cupp,Cafe,2.8,40,550,No,No
Cuppa,Cafe,3,119,700,Yes,No
Cuppa Joy,Cafe,2.8,40,500,No,No
Curries & Chillies,Quick Bites,3,20,300,No,No
Curries & Pickles,Quick Bites,3.4,35,400,Yes,No
Curries And Pickles,Quick Bites,2.8,28,400,No,No
Curries 'N' Phulkas,Quick Bites,3.4,6,250,Yes,No
Curries'N' Fries,Quick Bites,3.7,22,400,No,No
Curry Chutney,Quick Bites,3,20,400,No,No
Curry Flavours,Casual Dining,2.8,40,200,No,No
Curry Leaves,Casual Dining,3.8,232,600,Yes,No
Curry Point,Quick Bites,3.2,7,300,No,No
Curry Pot,Casual Dining,3.4,11,650,No,No
Curry with a 'K' - St. Mark's Hotel,Casual Dining,3.9,89,1400,No,No
Currylicious,Food Court,3.1,49,800,No,No
CutePorkie,Quick Bites,3.3,4,400,No,No
Cutlet Shop,Quick Bites,3.2,9,200,No,No
D Fusion,Quick Bites,3.5,9,400,Yes,No
D View Cafe,"Cafe, Quick Bites",4,507,1000,Yes,No
D2V Cafe,Cafe,3.6,13,700,No,No
D'7 Feast Resto Cafe,Casual Dining,4.1,147,600,No,No
Daafoodies,Quick Bites,3.2,4,400,No,No
Daal Roti,Quick Bites,2.9,35,250,Yes,No
Daawat Restaurant Bar & Pub,"Bar, Casual Dining",3.5,9,700,Yes,No
Daba Delights,Delivery,3.3,9,400,Yes,No
Dabba Gosht,"Takeaway, Delivery",2.8,40,400,Yes,No
Dabba Karkhana,"Takeaway, Delivery",3.5,17,300,Yes,No
Dadaba's,Quick Bites,3.3,6,300,No,No
Dadi's Dum Biryani,Casual Dining,4,739,800,Yes,Yes
Dad's Coffee Club,Cafe,,40,200,No,No
Dad's Cookhouse,Quick Bites,4,44,300,Yes,No
Daily Bite,Quick Bites,3.5,14,250,No,No
Daily Bread,"Bakery, Quick Bites",2.7,29,,No,No
Daily Sushi,Casual Dining,3.8,56,900,Yes,No
Daivik,Casual Dining,3.3,6,650,No,No
Dakshin,Casual Dining,3.5,47,450,Yes,No
Dakshin - ITC Windsor,Fine Dining,4.3,202,4000,No,Yes
Dakshin Biryani & Tiffin,Casual Dining,3.4,334,550,Yes,No
Dakshin Cafe,Quick Bites,3.7,19,100,Yes,No
Dakshin Flavors,Casual Dining,3,206,600,Yes,No
Dakshin Food Palace,Casual Dining,3.7,42,450,Yes,No
Dakshin Grand,Quick Bites,3,82,300,Yes,No
Dakshin Kitchen,Quick Bites,3.6,15,100,Yes,No
Dakshin Restaurant,Casual Dining,3.6,16,800,Yes,No
Dakshin Sagar,Quick Bites,3.1,325,400,Yes,No
Dakshin Spice,Casual Dining,3.8,384,800,Yes,Yes
Dal Chawal Roti,Quick Bites,3.3,10,,No,No
Dal Roti,Quick Bites,3.7,117,150,Yes,No
Dal Roti Sabji,Quick Bites,4.1,81,150,Yes,No
Dal Tadkaa,Casual Dining,2.5,247,500,Yes,No
Dalchini,Casual Dining,4,225,700,No,No
Dalma,Casual Dining,3.9,475,600,Yes,No
Dambal's Veg,Quick Bites,3.2,11,250,Yes,No
Damodar Seth,Casual Dining,3.1,152,600,Yes,No
Danapani,Casual Dining,3.8,59,400,No,No
Dande Hyderabad Biryani,Quick Bites,2.8,40,500,Yes,No
Dande's Hyderabad Biryani,Casual Dining,3,255,550,Yes,No
Daniyal's,Casual Dining,3.5,178,800,Yes,No
Danny Lambas Punjabi Dhaba,Casual Dining,3.5,98,600,Yes,No
Darbar,Bar,3,98,800,No,No
Darjeeling Hot Momos,Quick Bites,,40,300,No,No
Darjeeling Momo Adda,Quick Bites,3.1,81,200,Yes,No
Darjeeling Momos & Fast Food Center,Quick Bites,3.8,37,250,Yes,No
Darshan Paradise Restaurant,Quick Bites,2.8,40,250,Yes,No
Daryaganj Chowk,Quick Bites,3.1,13,400,No,No
Dasaprakash Cafe,Cafe,3.1,10,400,No,No
Dash In,Casual Dining,3.1,53,600,No,No
Dashabhuja Kitchen & Catering,"Takeaway, Delivery",3,12,400,Yes,No
Dastarkhan,Quick Bites,2.8,40,400,No,No
Davanagere Bene Dosa Hotel,Quick Bites,3.3,4,100,No,No
Davanagere Benne Dosa,Quick Bites,2.8,40,150,No,No
Davanagere Benne Dosa Hotel,Quick Bites,3.1,19,150,Yes,No
Davanagere Benne Dose,Quick Bites,3.9,106,150,Yes,No
Davanagere Benne Dose Hut,Quick Bites,3.4,10,100,Yes,No
Davanagere Butter Dosa Hotel,Quick Bites,3.7,43,150,No,No
Davangere Benna Dose Hotel,Quick Bites,4.1,90,100,Yes,No
Davangere Butter Dosa Hotel,Quick Bites,3.8,25,150,Yes,No
David's Kitchen,Quick Bites,3.5,12,200,Yes,No
Davis Bar And Restaurant,Bar,3,31,700,No,No
Dawat,Quick Bites,3.5,57,400,Yes,No
Dawat E Biryani,Quick Bites,2.8,40,200,No,No
Dawat Midnight Express,"Takeaway, Delivery",3.1,29,450,Yes,No
Day N Night Kitchen,Delivery,3.2,35,450,No,No
Dazu Momoz,Kiosk,3.1,8,200,Yes,No
D'Brooks,Quick Bites,3.4,8,400,Yes,No
D'Cafe,Cafe,3.8,16,500,No,No
De Grand,Casual Dining,3.3,70,600,Yes,No
De Grand Restaurant,Quick Bites,3.8,257,600,Yes,No
De Oxford Cafe,Cafe,3.7,34,500,No,No
de Ranthal,Quick Bites,3.8,33,300,No,No
De Street Cafe,Cafe,3.6,61,500,No,No
De Thaali,Casual Dining,3.9,144,550,Yes,No
De3 - The Eatery,Food Truck,3.1,13,250,No,No
Debby's Kitchen,Quick Bites,3.6,16,250,Yes,No
Deccan House,Quick Bites,4,409,350,Yes,No
Deccan Kitchen,Casual Dining,3.6,31,700,Yes,No
Deccan Spice,Casual Dining,3.5,65,750,No,No
Deccan Spices,Quick Bites,3.7,23,500,Yes,No
Decker's Lane,Quick Bites,2.1,242,400,Yes,No
Deejas Kitchen,"Takeaway, Delivery",3.9,73,400,Yes,No
Deepak Fast Food,Quick Bites,3.3,4,350,No,No
Deepak Paratha Plaza,Quick Bites,3.5,18,200,No,No
Deepam Tiffins,Quick Bites,,40,300,No,No
Degchi Restaurant,Casual Dining,3.7,103,600,No,No
Dehati Murgee,Quick Bites,4,151,600,Yes,No
Deja Vu Resto Bar,Pub,4.4,2487,900,Yes,Yes
Delhi Base Sri Food Court,Quick Bites,3.9,505,250,Yes,No
Delhi Belli,"Takeaway, Delivery",3.3,4,500,No,No
Delhi Bhavan,Quick Bites,3.3,11,150,No,No
Delhi Biryani Cafe,Quick Bites,3.4,10,250,Yes,No
Delhi Delight Food Cafe,Quick Bites,3.1,28,200,Yes,No
Delhi Food Point,Quick Bites,3.3,909,250,Yes,No
Delhi Highway,Casual Dining,4.4,3423,1500,Yes,Yes
Delhi Home Food,Quick Bites,3.3,5,200,No,No
Delhi Ke Bawarchi,Casual Dining,4,88,500,No,No
Delhi Kitchen,"Takeaway, Delivery",2.9,142,400,Yes,No
Delhi Mahal,Quick Bites,3.1,114,400,Yes,No
Delhi Mess,Quick Bites,4.1,498,300,Yes,No
Delhi Pizza House,Quick Bites,3.2,4,400,No,No
Delhi Restaurant,Quick Bites,3.6,194,350,Yes,No
Delhi Sweets,Quick Bites,3.1,10,100,No,No
Delhi Walle,Quick Bites,3.7,116,300,No,No
Delhiciouss,Quick Bites,3.7,24,300,No,No
Delhi's Essence,Quick Bites,3.6,60,500,Yes,No
Delhite Food,Quick Bites,3.4,9,300,Yes,No
Delhiz Taste,Quick Bites,3.5,13,400,Yes,No
Deli Chats & Sweets,Quick Bites,2.8,40,200,Yes,No
Deli Chats and Sweets,Quick Bites,4.1,39,200,Yes,No
Deli Counter - Gateway Hotel,Dessert Parlor,3.5,6,500,No,No
DeliBox.in,Delivery,3.7,67,150,Yes,No
Delicacy,Casual Dining,3.8,219,500,Yes,No
Delice - Novotel,"Dessert Parlor, Bakery",3.8,33,800,No,No
Delices,Bakery,3.1,6,400,Yes,No
Delicious Cakes,Dessert Parlor,3.1,9,400,No,No
Delicious Demons,Delivery,3.3,26,400,Yes,No
Delicious Desserts,Delivery,3.5,10,750,No,No
Delicious Ice Cream Parlour,Dessert Parlor,3.2,6,300,No,No
Delicious Momos,Casual Dining,4.1,109,450,No,No
Delicious Mom's Kitchen,Quick Bites,2.8,40,200,No,No
Delifusion - Hunger Sorted,Quick Bites,3.3,6,500,Yes,No
Delight Fast Food & Restaurant,Casual Dining,2.8,36,550,Yes,No
Delight Food,Casual Dining,2.6,171,450,Yes,No
Delightz,Dessert Parlor,4,40,300,No,No
Delish Chinese Fast Food,Quick Bites,3.2,4,300,Yes,No
Delisias,Bakery,2.8,40,400,No,No
Delite Chaat House,Quick Bites,3.3,4,300,Yes,No
DeliToons,Quick Bites,4,126,300,No,No
Delitz Creamvilla Cafe,"Cafe, Dessert Parlor",3.9,77,600,Yes,No
Delly Belly,Delivery,3.2,5,400,No,No
Deshi Fusion Pizza,Delivery,3.3,73,750,Yes,No
Desi Aahar,Quick Bites,2.8,40,400,No,No
Desi Adda,Quick Bites,3.3,22,300,No,No
Desi Bites,Casual Dining,3.7,145,600,Yes,No
Desi Breakk,Delivery,3.3,7,150,No,No
Desi Bytes,Quick Bites,2.9,62,450,No,No
